timestamp,satellite,azimuth_deg,elevation_deg,distance_km,relative_velocity_kms,doppler_shift_hz,tx_freq_ghz,rx_freq_hz,ue_lat,ue_lon,ue_alt_m,time_minutes
2026-01-20T23:00:48+00:00,SAT-65283,291.39365646264,32.55795666282107,4036.5647238502625,-0.6510532292271625,22802.638039964317,10.5,10500022802.63804,47.655,-122.3035,60.0,0.8
2026-01-20T23:00:49+00:00,SAT-65283,291.26156296461033,32.56780050808604,4035.9154067629797,-0.6391962178557844,22387.355346630287,10.5,10500022387.355347,47.655,-122.3035,60.0,0.8166666666666667
2026-01-20T23:00:50+00:00,SAT-65283,291.1293923342313,32.57740275394329,4035.277915068372,-0.6273327705935643,21971.847241175175,10.5,10500021971.84724,47.655,-122.3035,60.0,0.8333333333333334
2026-01-20T23:00:51+00:00,SAT-65283,290.9971461926184,32.58676306074449,4034.6522551851663,-0.6154630020196653,21556.11773664595,10.5,10500021556.117737,47.655,-122.3035,60.0,0.85
2026-01-20T23:00:52+00:00,SAT-65283,290.86482616657656,32.595881095861195,4034.038433417819,-0.6035870305269319,21140.170979660816,10.5,10500021140.17098,47.655,-122.3035,60.0,0.8666666666666667
2026-01-20T23:00:53+00:00,SAT-65283,290.73243388773193,32.604756533773575,4033.4364559527066,-0.5917049708027777,20724.010987058144,10.5,10500020724.010986,47.655,-122.3035,60.0,0.8833333333333333
2026-01-20T23:00:54+00:00,SAT-65283,290.5999709932902,32.613389056043175,4032.846328861826,-0.5798169421609419,20307.641937709755,10.5,10500020307.641937,47.655,-122.3035,60.0,0.9
2026-01-20T23:00:55+00:00,SAT-65283,290.4674391249613,32.62177835141212,4032.2680580981773,-0.5679230584797523,19891.06782011641,10.5,10500019891.06782,47.655,-122.3035,60.0,0.9166666666666666
2026-01-20T23:00:56+00:00,SAT-65283,290.33483993012675,32.6299241157508,4031.701649501187,-0.5560234400482214,19474.292847308134,10.5,10500019474.292847,47.655,-122.3035,60.0,0.9333333333333333
2026-01-20T23:00:57+00:00,SAT-65283,290.20217506034896,32.637826052179854,4031.1471087903124,-0.544118204002874,19057.32112190153,10.5,10500019057.321121,47.655,-122.3035,60.0,0.95
2026-01-20T23:00:58+00:00,SAT-65283,290.0694461720126,32.64548387105145,4030.6044415681868,-0.5322074682923705,18640.156774957595,10.5,10500018640.156775,47.655,-122.3035,60.0,0.9666666666666667
2026-01-20T23:00:59+00:00,SAT-65283,289.9366549260848,32.65289728998749,4030.07365331981,-0.520291348926513,18222.803869630323,10.5,10500018222.80387,47.655,-122.3035,60.0,0.9833333333333333
2026-01-20T23:01:00+00:00,SAT-65283,289.80380298855994,32.66006603387959,4029.5547494144803,-0.5083699669784965,17805.266646415144,10.5,10500017805.266647,47.655,-122.3035,60.0,1.0
2026-01-20T23:01:01+00:00,SAT-65283,289.67089202915145,32.66698983498458,4029.047735100747,-0.496443440166758,17387.54922830967,10.5,10500017387.549229,47.655,-122.3035,60.0,1.0166666666666666
2026-01-20T23:01:02+00:00,SAT-65283,289.5379237220535,32.673668432903725,4028.5526155097546,-0.4845118874106574,16969.655780372912,10.5,10500016969.65578,47.655,-122.3035,60.0,1.0333333333333334
2026-01-20T23:01:03+00:00,SAT-65283,289.4048997455919,32.68010157462284,4028.069395654043,-0.4725754281758912,16551.590486798894,10.5,10500016551.590487,47.655,-122.3035,60.0,1.05
2026-01-20T23:01:04+00:00,SAT-65283,289.271821782013,32.686289014543554,4027.5980804270093,-0.46063418026729325,16133.357473611224,10.5,10500016133.357473,47.655,-122.3035,60.0,1.0666666666666667
2026-01-20T23:01:05+00:00,SAT-65283,289.1386915178937,32.69223051448508,4027.138674604556,-0.44868826728441963,15714.961069789175,10.5,10500015714.96107,47.655,-122.3035,60.0,1.0833333333333333
